Organisation,CountryName,CityName,C40,ReportingYear,Sector,TargetBoundary,BaselineYear,BaselineEmissions,PercentageReductionTarget,TargetDate,Comment,CityLocation,Country,CityName.1,MeasurementYear,Boundary,PrimaryMethodology,MethodologyDetails,GasesIncluded,TotalCityWideEmissions,IncreaseDecreaseLastYear,ReasonForIncreaseDecrease,PopulationYear,CurrentPopulation,CityGPP,GDPCurrency,GDPYear,GDPSource,AverageAnnualTemperature,​LandArea,AverageAltitude,Organization,Region,Population,CityGDP,​AverageAltitude,Access,TypeOfTarget,Target date,EstimatedBAUAbsoluteEmissions,​IntensityUnit,Questionnaire,AssessmentAttachmentOrDirectLink,BoundaryAssessment,YearOfPublicationOrApproval,FactorsConsidered,PrimaryAuthors,AdaptionGoalOrPlan,LastUpdate
,,City of Cape Town,C40,2016.0,,,,,,,,"(-33.9253, 18.4239)",South Africa,Cape Town,12/31/2012 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","During 2014 the City updated its energy profile and released a State of Energy Report in 2015 (based on 2012 data year). All data provided in this CDP submission is based on this report.
The process includes: A baseline data collection was collected from the following 5 sectors. Residential Sector: disaggregated according to electrified and non-electrified by income category. 
Commercial Sector: including retail and office buildings, tourism activities, education facilities, hospitals, and other non-industrial activities. Industrial Sector: disaggregated  into textiles, food and beverages, non-food manufacturing sub-sectors and other industrial activities. Local Government: all municipal operations, namely council buildings, street and traffic lights, water and wastewater treatment works and municipal vehicle fleet. Transport Sector: disaggregated into freight, private vehicle and public transport (bus,minibus taxi and train)

The City's GHG account/inventory for its most recent State of Energy Report (Report released in 2015 based on 2012 data year) is based on the Global Protocol for Community-Scale Greenhouse Gas Emissions Reporting Draft v2 (GPC). Emissions factors draw on those of the IPCC (web based and regularly updated) for South Africa, as well as Eskom for local electricity emissions factors.

In the Cape Town GPC summary table provided, Scope 1 includes all emissions that physically take place within the Cape Town area. This includes liquid fuels consumed and coal. Even if that liquid fuel is moved out of the area, it is still accounted for as per point of sale. This scope includes the emissions from Ankerlig and Acacia power stations (Energy supplied to the grid - territorial); but these are removed in the final balance for Cape Town as per protocol (this is accounted for within national electricity production accounts of Eskom). Scope 2 includes emissions from electricity produced elsewhere in the country, but consumed in Cape Town. This column accounts for the majority of these emissions, but a small portion are recorded in Scope 3, reflecting that component of the emissions factor that relates to Transmission and distribution (i.e. from power station to municipal boundary; and amounting to 0.04 of the 1.03 emissions factor). Also included within the category energy industries is the municipal distribution losses.",CO2; CH4; N2O,22643846.0,Decreased,"The City of Cape Town does not update its emissions inventory annually, but rather in a process linked to the update of its entire energy profile, which takes place every 4-5 years. In comparison to its last full inventory data (2007), Cape Town's emissions have decreased due to an increase in electricity efficiency between the reporting years  (2007 and 2012).",2014.0,3918830.0,2467976.0,USD     US Dollar,2014.0,Economic Performance Indicators for Cape Town,16.6,2461.0,,,,,,,,,,,,,,,,,,,
,,City of Edmonton,,2016.0,,,,,,,,"(53.544389, -113.4909267)",Canada,Edmonton,12/31/2014 12:00:00 AM,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),"Each year we manually collect empirical utility use information from the utilities for natural gas and electricity used within the geographic border of the City of Edmonton. This information is provided to us in various reporting categories such as residential, commercial and industrial. We are now receiving this information at the finest level of granularity that can be provided from the utilities. Propane fuel use for transportation is taken from Statistics Canada as recorded for the Province of Alberta, and then prorated according to the population of Edmonton compared to the population of Alberta. The diesel and gasoline use in litres is done in a similar fashion, but the information in this case is provided to us from the Alberta provincial government. The natural gas consumption in vehicles is received directly from the natural gas distributor. The conversion factors are derived from various sources: electricity grid intensity comes from Statistics Canada - this factor, is always two years behind the calendar year; natural gas and liquid fuels from US Environmental protection Agency, or Natural Resources Canada references, and the local utilities. The data is input manually each year into an excel spreadsheet model, and the conversion factors are checked for updates each year. Reports on the results are sent out on an as needed, customized basis.",CO2; CH4; N2O,16576702.0,Increased,"The changes from the 2013 dataset are as follows:Residential increased slightly, likely due to an increase in about 9,000 customers over the year, commercial increased energy consumption possibly due to a slight expansion in numbers, industrial showed a small decrease in emissions but we can't determine why, it was very much the same as 2013 values. All the vechicle fuel consumption numbers: gasoline, diesel, propane, natural gas for vehicles were very much the same as for 2013, ""Other"" emissions went up slightly due to an increase in some industrial sector emission due to production increases. Overall, total EMISSIONS in 2014 went up by 3.3% over 2013.",2014.0,878000.0,45969000000.0,CAD     Canadian Dollar,2014.0,Edmonton Chief Economist - Real GDP at Market Prices in 2007 dollars,3.6,684.0,671.0,,,,,,,,,,,,,,,,,,
,,District of Columbia,C40,2016.0,,,,,,,,"(38.9071923, -77.0368707)",USA,District of Columbia,12/31/2013 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Emissions reported here are based on the GPC. Previous inventories, and the District's baseline were calculated using the U.S. community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)",CO2; CH4; N2O,7386407.0,Increased,Emissions increased 2.3% from 2012 to 2013 due primarily to a colder winter and resulting increase in energy consumption for heating purposes. 2013 emissions have been updated from what was previously reported in order to reflect updated emission factors for grid electricity now available from the U.S. EPA. (EGrid 2012).,2015.0,672228.0,116378000000.0,USD     US Dollar,2014.0,U.S. Bureau of Economic Analysis,14.7,158.0,,,,,,,,,,,,,,,,,,,
,,Basel-Stadt,C40,2016.0,,,,,,,,"(47.5619, 7.5928)",Switzerland,Basel-Stadt,12/31/2012 12:00:00 AM,A metropolitan area,Other,"Energy-consumption statistics of the canton Basel-Stadt. CO2-emissions can be calculated according to the energy consumption. 

The calculation of the air-quality report of the canton Basel-Stadt is based on Corinair: http://www.eea.europa.eu/publications/EMEPCORINAIR5. 
Air-quality report: http://www.baselland.ch/fileadmin/baselland/files/docs/bud/lufthygiene/plan/luftreinhalteplan_2010_bericht.pdf. Last actualisation 2010. Next actualisation 2015.

Report about the 2000-Watt-Society: http://www.aue.bs.ch/Energiestudie-BS-Endbericht-2011.pdf",CO2; CH4; N2O,885878.0,Decreased,,2015.0,197005.0,30864000000.0,CHF     Swiss Franc,2012.0,Bundesamt für Statistik (BFS): Volkswirtschaftliche Gesamtrechnung,12.0,37.0,260.0,,,,,,,,,,,,,,,,,,
,,Bogor City Government,,2016.0,,,,,,,,"(-6.597147, 106.806039)",Indonesia,Bogor ,12/31/2014 12:00:00 AM,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Following the protocol used at the national level,CO2; CH4; N2O,2193642.0,Increased,"due to population growth, transportation and economic activity",2014.0,1030720.0,117412136000000.0,IDR     Rupiah,2014.0,Central Statistic Bureau,32.1,118.5,260.0,,,,,,,,,,,,,,,,,,
,,City of Turku,,2016.0,,,,,,,,"(60.4518126, 22.2666303)",Finland,Turku,12/31/2013 12:00:00 AM,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"For a local authority level the IPCC guidelines have been applied according to: European Union/Covenant of Mayors, 2010. How to develop a Sustainable Energy Action Plan - Guidebook. Part II, Baseline emissions inventory. The sectors included are: heating, electricity consumption (including industry), fuels for industry and machinery, road traffic, other traffic, agriculture and waste management.",CO2; CH4; N2O,1107500.0,Stayed the same,"Most sectors decreased, but the emission factor for electricity increased in Finland.",2015.0,186000.0,8700000000.0,USD     US Dollar,2012.0,Statistics Finland,5.5,246.0,10.0,,,,,,,,,,,,,,,,,,
,,City of Boston,C40,2016.0,,,,,,,,"(42.3584308, -71.0597732)",USA,Boston,12/31/2014 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","For its inventory, the City of Boston relies on a mix of actual measurements and modeled calculations. Actual measurements are available for electricity, natural gas, and steam (obtained directly from energy utilities), and all sources related to mass transit, the airport, and water and sewer (obtained from the regional authorities). Regional transportation models are used to calculate vehicle-miles-traveled in Boston, which are then split into diesel and gasoline based on the State diesel and gas consumption split. Then each fuel type is divided into the average fleet mix categories (ICLEI 2009) and the EPA emissions factor for each vehicle type are applied to calculate the GHG. A 10% ethanol content for gasoline is also accounted for.  Fuel oil consumption is estimated based on sampling, U.S. Census data, and some state consumption figures.",CO2; CH4; N2O,6066182.0,Decreased,"Overall GHGs decreased by about 2,000 metric tonnes, or 0.03%. This could be in part because there was only a small increase in heating degree days (HDD) from 2013 to 2014 (6.5%), and natural gas used declined more than 4.5%. Meanwhile the electricity emissions factor fell by a few points, while electricity use increased only 1.2%.",2013.0,646000.0,103067100436.0,USD     US Dollar,2015.0,Boston Redevelopment Authority analysis using data from the Bureau of Economic Analysis and the National Bureau of Economic Research,10.0,124.0,2.0,,,,,,,,,,,,,,,,,,
,,City of Flagstaff,,2016.0,,,,,,,,"(35.1992, -111.6311)",USA,Flagstaff,12/31/2014 12:00:00 AM,Administrative boundary of a local government,Other,Formulas taken from The Climate Registry: Pacificorp Data ('07 Generation),CO2,1211617.47,Stayed the same,"City is growing at very slow rate, so emissions have not changed considerably over past three years of measuring.",2013.0,68667.0,4801000000.0,USD     US Dollar,2010.0,U.S. Department of Commerce,6.5,165.0,2134.0,,,,,,,,,,,,,,,,,,
,,Gemeente Rotterdam,C40,2016.0,,,,,,,,"(51.9163716, 4.4509382)",Netherlands,Rotterdam,12/31/2015 12:00:00 AM,Other: Geopolitical Boundary - physical areas over which local government has jurisdictional control.,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","For the city of Rotterdam, the GHG protocol is used and the governmental boundaries apply, hence including the port, we compute all scope 1 emissions. Industrial activities in the port area encompasses several energy production plants, therefore scope 2 emissions from the industry are not computed. 
We only monitor scope 2 emissions for the built environment. This number is filled in in C1.5 but is not used for the monitoring of the RCI target.  
An inventory was made on the emissions in 2009 and 2011 of other green house gases, but these numbers have limited accuracy. Therefore, these numbers are not included in C1.5. 
The most recent data that are now (April, 2016) available refer to the situation in 2014.",CO2,31512000.0,Increased,The total amount of CO2-emission in Rotterdam in 2014 has increased compared to the 2013-emissions. 31512000 tonnes in 2014 compared to 29524000 in 2013 (updated figure). Refineries and especially energy generation have increased their emissions substantially.,2014.0,624000.0,,,,,11.0,208.0,-5.0,,,,,,,,,,,,,,,,,,
,,Municipality of Belo Horizonte,,2016.0,,,,,,,,"(-19.916681, -43.934493)",Brazil,Belo Horizonte,12/31/2013 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","GHG emissions by fuel consumption -Different concentrations of biofuels (ethanol and biodiesel) were established by the national authority for the distribution of Automotive Gasoline and Diesel. These concentrations were considered in the calculations and applied to the total of each fuel checked for the municipality, according to regulatory developments in the industry.
GHG emissions for electricity consumption - The indirect CO2 emissions per electricity consumption were calculated taking into account the average emission factor of the National Interconnected System in each year of the period considered. 
GHG emissions per treatment and release of liquid effluents - Belo Horizonte has 4 sewage treatment plants (STP) in operation, which are emitting methane and nitrous oxide.There are a fifth STP that employs physicolchemical processes that do not emit greenhouse gases.
A fraction of sewage collected in Belo Horizonte is not forwarded to any treatment plant, being deposited directly into the water body; another fraction of wastewater, which is not collected, it is presumably treated in septic systems (septic tanks), followed by infiltration.
GHG emissions by treating municipal solid waste - Landfill - The solids waste generated in Belo Horizonte are taken for disposal in landfill (CTR Macaúbas), where there is no biogas recovery system. It was assumed that 100% of the biogas generated in massive municipal solid waste is released into the atmosphere. A fraction of the waste collected in the city is still willing to massive treatment center CTR-BR-040 in Belo Horizonte, in a separate area where, from 2010, began a system of thermoelectric generation from biogas generated at the landfill. Thus, biogas derived from the ancient massive waste should not be considered in the GHG inventory from 2010. Is it considered only the fraction derived from the provisions in recent separate area and not covered by biogas recovery system.
It is worth mentioning that according to this model first-order decay,  For purposes of this inventory, we adopted a period of 10 (ten) years as horizon degradation of waste within the massif.
Composting - BH also conducts composting for organic waste. These activities take place in the CTRS Rod BR-040 and may incur nitrous oxide and methane.",CO2; CH4; N2O,3241713.0,Increased,"Emissions keeps the growth rate of approximately 5% per year, following the trend projected into the 'business as usual' despite of efforts aimed at its reduction made so far",2015.0,2502557.0,81426708.0,BRL     Brazilian Real,2013.0,IBGE,21.0,331.0,900.0,,,,,,,,,,,,,,,,,,
,,Kaohsiung City Government,,2016.0,,,,,,,,"(22.629705, 120.343804)",Taiwan,Kaohsiung,12/31/2014 12:00:00 AM,Administrative boundary of a local government,Other,"GHG Inventory Accounting Guideline for Local City (EPA): Our country in order to assist local cities to handle emissions baseline, and make sure it follows the standard of MRV, so referring to related international GHG inventory guidelines for local cities, including IEAP published in 2009, to develop our city GHG inventory guideline.",CO2; PFCs; CH4; SF6; N2O; HFCs,58755764.13,Stayed the same,"The city administrative area emissions is gentlely decreasing, and total emissions reduction range is 0.11%.",2015.0,2778729.0,524493000000.0,USD     US Dollar,2015.0,http://0rz.tw/mT92O,25.1,2947.0,50.0,,,,,,,,,,,,,,,,,,
,,New Taipei City Government,,2016.0,,,,,,,,"(25.0111, 121.4458)",Taiwan,New Taipei ,12/31/2014 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","GHG Protocol is working to give cities the standards and tools they need to measure their emissions, build more effective emissions reduction strategies, set measurable and more ambitious emission reduction goals, and to track their progress more accurately and comprehensively.",CO2; PFCs; CH4; SF6; N2O; HFCs,17233924.0,Increased,Population growing and new regulation on emissions reporting for high carbon-density industries.,2014.0,3966818.0,530043000000.0,USD     US Dollar,2014.0,"Gross Domestic Product by Expenditures, National Statistics, R.O.C (Taiwan) (2016)",21.0,2053.0,10.0,,,,,,,,,,,,,,,,,,
